No,year,month,day,hour,season,PM_Dongsihuan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,week,work
1,2010,1,1,0,4,179,-21,43,1021,-11,NW,1.79,0,0,Friday,No
2,2010,1,1,1,4,79,-21,47,1020,-12,NW,4.92,0,0,Friday,No
3,2010,1,1,2,4,82,-21,43,1019,-11,NW,6.71,0,0,Friday,No
4,2010,1,1,3,4,151,-21,55,1019,-14,NW,9.84,0,0,Friday,No
5,2010,1,1,4,4,112,-20,51,1018,-12,NW,12.97,0,0,Friday,No
6,2010,1,1,5,4,99,-19,47,1017,-10,NW,16.1,0,0,Friday,No
7,2010,1,1,6,4,59,-19,44,1017,-9,NW,19.23,0,0,Friday,No
8,2010,1,1,7,4,100,-19,44,1017,-9,NW,21.02,0,0,Friday,No
9,2010,1,1,8,4,116,-19,44,1017,-9,NW,24.15,0,0,Friday,Yes
10,2010,1,1,9,4,94,-20,37,1017,-8,NW,27.28,0,0,Friday,Yes
11,2010,1,1,10,4,94,-19,37,1017,-7,NW,31.3,0,0,Friday,Yes
12,2010,1,1,11,4,94,-18,35,1017,-5,NW,34.43,0,0,Friday,Yes
13,2010,1,1,12,4,133,-19,32,1015,-5,NW,37.56,0,0,Friday,Yes
14,2010,1,1,13,4,126,-18,30,1015,-3,NW,40.69,0,0,Friday,Yes
15,2010,1,1,14,4,161,-18,28,1014,-2,NW,43.82,0,0,Friday,Yes
16,2010,1,1,15,4,57,-18,26,1014,-1,cv,0.89,0,0,Friday,Yes
17,2010,1,1,16,4,31,-19,25,1015,-2,NW,1.79,0,0,Friday,Yes
18,2010,1,1,17,4,57,-18,30,1015,-3,NW,2.68,0,0,Friday,Yes
19,2010,1,1,18,4,83,-18,35,1016,-5,NE,1.79,0,0,Friday,No
20,2010,1,1,19,4,60,-17,35,1017,-4,NW,1.79,0,0,Friday,No
21,2010,1,1,20,4,66,-17,38,1017,-5,cv,0.89,0,0,Friday,No
22,2010,1,1,21,4,60,-17,38,1018,-5,NW,1.79,0,0,Friday,No
23,2010,1,1,22,4,57,-17,38,1018,-5,NW,2.68,0,0,Friday,No
24,2010,1,1,23,4,70,-17,41,1020,-5,cv,0.89,0,0,Friday,No
