year,month,day,hour,season,PM_Dongsihuan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,week,work
2010,1,1,0,4,69,-21,43,1021,-11,NW,1.79,0,0,Friday,No
2010,1,1,1,4,94,-21,47,1020,-12,NW,4.92,0,0,Friday,No
2010,1,1,2,4,382,-21,43,1019,-11,NW,6.71,0,0,Friday,No
2010,1,1,3,4,36,-21,55,1019,-14,NW,9.84,0,0,Friday,No
2010,1,1,4,4,51,-20,51,1018,-12,NW,12.97,0,0,Friday,No
2010,1,1,5,4,111,-19,47,1017,-10,NW,16.1,0,0,Friday,No
2010,1,1,6,4,39,-19,44,1017,-9,NW,19.23,0,0,Friday,No
2010,1,1,7,4,14,-19,44,1017,-9,NW,21.02,0,0,Friday,No
2010,1,1,8,4,11,-19,44,1017,-9,NW,24.15,0,0,Friday,Yes
2010,1,1,9,4,97,-20,37,1017,-8,NW,27.28,0,0,Friday,Yes
2010,1,1,10,4,83,-19,37,1017,-7,NW,31.3,0,0,Friday,Yes
2010,1,1,11,4,31,-18,35,1017,-5,NW,34.43,0,0,Friday,Yes
2010,1,1,12,4,92,-19,32,1015,-5,NW,37.56,0,0,Friday,Yes
2010,1,1,13,4,40,-18,30,1015,-3,NW,40.69,0,0,Friday,Yes
2010,1,1,14,4,248,-18,28,1014,-2,NW,43.82,0,0,Friday,Yes
2010,1,1,15,4,135,-18,26,1014,-1,cv,0.89,0,0,Friday,Yes
2010,1,1,16,4,59,-19,25,1015,-2,NW,1.79,0,0,Friday,Yes
2010,1,1,17,4,12,-18,30,1015,-3,NW,2.68,0,0,Friday,Yes
2010,1,1,18,4,73,-18,35,1016,-5,NE,1.79,0,0,Friday,No
2010,1,1,19,4,309,-17,35,1017,-4,NW,1.79,0,0,Friday,No
2010,1,1,20,4,244,-17,38,1017,-5,cv,0.89,0,0,Friday,No
2010,1,1,21,4,124,-17,38,1018,-5,NW,1.79,0,0,Friday,No
2010,1,1,22,4,94,-17,38,1018,-5,NW,2.68,0,0,Friday,No
2010,1,1,23,4,136,-17,41,1020,-5,cv,0.89,0,0,Friday,No
2010,1,2,0,4,177,-16,38,1020,-4,SE,1.79,0,0,Saturday,No
2010,1,2,1,4,134,-15,42,1020,-4,SE,2.68,0,0,Saturday,No
2010,1,2,2,4,235,-11,63.5,1021,-5,SE,3.57,0,0,Saturday,No
